NAME,total_population,hispanic_or_latino_population,non_hispanic_white_population,percent_non_hispanic_white,state,county,tract
Census Tract 1704; Milwaukee County; Wisconsin,3055.0,39.0,91.0,3.0,55,079,170400
Census Tract 1705; Milwaukee County; Wisconsin,2030.0,16.0,76.0,3.7,55,079,170500
Census Tract 1706; Milwaukee County; Wisconsin,3428.0,51.0,96.0,2.8,55,079,170600
Census Tract 1707; Milwaukee County; Wisconsin,3139.0,0.0,339.0,10.8,55,079,170700
Census Tract 1801; Milwaukee County; Wisconsin,2910.0,16.0,258.0,8.9,55,079,180100
Census Tract 1802; Milwaukee County; Wisconsin,4382.0,57.0,262.0,6.0,55,079,180200
Census Tract 1803; Milwaukee County; Wisconsin,3686.0,66.0,367.0,10.0,55,079,180300
Census Tract 1804; Milwaukee County; Wisconsin,2743.0,21.0,56.0,2.0,55,079,180400
Census Tract 1805; Milwaukee County; Wisconsin,4132.0,125.0,146.0,3.5,55,079,180500
Census Tract 1851; Milwaukee County; Wisconsin,4790.0,111.0,15.0,0.3,55,079,185100
Census Tract 1852; Milwaukee County; Wisconsin,4214.0,97.0,324.0,7.7,55,079,185200
Census Tract 1853; Milwaukee County; Wisconsin,4819.0,32.0,41.0,0.9,55,079,185300
Census Tract 1854; Milwaukee County; Wisconsin,940.0,0.0,0.0,0.0,55,079,185400
Census Tract 1855; Milwaukee County; Wisconsin,1214.0,0.0,0.0,0.0,55,079,185500
Census Tract 1856; Milwaukee County; Wisconsin,2430.0,0.0,16.0,0.7,55,079,185600
Census Tract 1857; Milwaukee County; Wisconsin,2866.0,100.0,220.0,7.7,55,079,185700
Census Tract 1858; Milwaukee County; Wisconsin,1376.0,0.0,0.0,0.0,55,079,185800
Census Tract 1859; Milwaukee County; Wisconsin,956.0,0.0,0.0,0.0,55,079,185900
Census Tract 1860; Milwaukee County; Wisconsin,1706.0,0.0,34.0,2.0,55,079,186000
